VIN (1-10);County;City;State;Postal Code;Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range;Base MSRP;Legislative District;DOL Vehicle ID;Vehicle Location;Electric Utility;2020 Census Tract;Descuentos;Precio Final
WVWKR7AU7H;King;Seattle;WA;98133;2017;VOLKSWAGEN;E-GOLF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;125;44100;46;144150506;POINT (-122.34584 47.76726);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033000300;3710;40390
5YJYGDEE6M;King;Kirkland;WA;98033;2021;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;45;181325448;POINT (-122.20264 47.6785);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022603;24893;45007
KM8KNDAF6P;King;Kent;WA;98031;2023;HYUNDAI;IONIQ 5;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;31950;47;258120761;POINT (-122.2012521 47.3931814);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033029407;11226;20724
1C4JJXP69M;King;Seattle;WA;98125;2021;JEEP;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25;31950;46;157492674;POINT (-122.296385 47.71558);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033000900;9001;22949
7SAYGDEE6P;King;Redmond;WA;98052;2023;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;59900;45;258213427;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032321;9534;50366
1N4BZ0CP2G;King;Bellevue;WA;98005;2016;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;84;44100;41;126225256;POINT (-122.16085 47.624515);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033023604;9159;34941
7SAYGDEE5P;King;Seattle;WA;98146;2023;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;44100;34;254663776;POINT (-122.355145 47.505655);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033012100;16979;27121
2C4RC1L72P;King;Tukwila;WA;98188;2023;CHRYSLER;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32;36800;11;238268509;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028200;13634;23166
KNDCS3LFXP;King;Seattle;WA;98146;2023;KIA;NIRO;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;33;36800;34;240640907;POINT (-122.355145 47.505655);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033012000;13150;23650
YV4BR0CZ5N;King;Redmond;WA;98052;2022;VOLVO;XC90;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18;52900;45;183346033;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032321;10607;42293
3FMTK4SX0M;Clark;Vancouver;WA;98685;2021;FORD;MUSTANG MACH-E;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;31950;18;192492310;POINT (-122.70302 45.703706);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011040908;11057;20893
KNDCE3LG2K;King;Seattle;WA;98178;2019;KIA;NIRO;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;239;36800;37;8188813;POINT (-122.234385 47.494545);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033011901;3194;33606
5YJ3E1EA3P;King;Renton;WA;98059;2023;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;11;219988744;POINT (-122.15734 47.487175);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033025104;23390;46510
1G1RD6E43C;Snohomish;Marysville;WA;98271;2012;CHEVROLET;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;35;59900;39;178960645;POINT (-122.1713847 48.10433);PUGET SOUND ENERGY INC;53061052808;10105;49795
1G1FX6S08K;Snohomish;Lake Stevens;WA;98258;2019;CHEVROLET;BOLT EV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;238;69900;44;4735426;POINT (-122.112265 48.0047);PUGET SOUND ENERGY INC;53061052607;26355;43545
1N4AZ0CP1F;Kitsap;Port Orchard;WA;98367;2015;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;84;59900;35;162186916;POINT (-122.6847073 47.50524);PUGET SOUND ENERGY INC;53035092901;8701;51199
5YJYGDEE1M;Clark;Battle Ground;WA;98604;2021;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;18;179343839;POINT (-122.53218 45.77945);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011040407;19726;50174
5UXKT0C56G;Clark;Ridgefield;WA;98642;2016;BMW;X5;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14;69900;17;207497755;POINT (-122.74291 45.818445);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011040412;17954;51946
5YJ3E1EB6L;Snohomish;Lynnwood;WA;98087;2020;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;322;59900;21;3354571;POINT (-122.2551991 47.8650827);PUGET SOUND ENERGY INC;53061041812;17965;41935
1G1FX6S04P;King;Seattle;WA;98103;2023;CHEVROLET;BOLT EV;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;59900;36;244614779;POINT (-122.34301 47.659185);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033002900;14897;45003
1C4JJXN62P;King;Tukwila;WA;98188;2023;JEEP;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21;44100;11;238153149;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028200;14727;29373
7SAYGAEE5P;Clark;Vancouver;WA;98682;2023;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;44100;17;259664247;POINT (-122.5146473 45.67862);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011040714;11736;32364
5YJ3E1EB0N;King;Federal Way;WA;98023;2022;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;59900;30;220237608;POINT (-122.36363 47.30675);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033030310;18192;41708
7SAYGDEE5P;Snohomish;Mukilteo;WA;98275;2023;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;21;257036125;POINT (-122.299965 47.94171);PUGET SOUND ENERGY INC;53061042005;19157;50743
5YJ3E1EA1J;King;Burien;WA;98166;2018;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;215;52900;34;257178785;POINT (-122.341345 47.465925);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033027902;15659;37241
1N4AZ1CP9K;King;Seattle;WA;98125;2019;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;150;69900;46;190034687;POINT (-122.296385 47.71558);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033001100;7110;62790
2C4RC1L76P;King;Tukwila;WA;98188;2023;CHRYSLER;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32;69900;11;236483551;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028200;27366;42534
1N4BZ0CP0H;King;Redmond;WA;98052;2017;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;107;52900;48;336035675;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022606;20852;32048
5YJYGDEE3M;King;Kirkland;WA;98033;2021;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;31950;48;132798725;POINT (-122.20264 47.6785);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022702;12468;19482
5YJ3E1EBXN;King;Seattle;WA;98125;2022;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;59900;46;205561583;POINT (-122.296385 47.71558);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033000800;8128;51772
KMHM34AC6P;King;Kent;WA;98042;2023;HYUNDAI;IONIQ 6;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;47;249135722;POINT (-122.111625 47.36078);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033031704;19697;50203
7SAXCDE55P;King;Redmond;WA;98052;2023;TESLA;MODEL X;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;52900;45;259674369;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032321;13935;38965
LPSED3KA8N;King;Seattle;WA;98177;2022;POLESTAR;PS2;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;32;219691769;POINT (-122.382425 47.77279);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033000402;18426;51474
5YJSA1S26F;King;Seattle;WA;98125;2015;TESLA;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;208;69900;46;239855087;POINT (-122.296385 47.71558);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033000900;18277;51623
7SAYGDEE9N;King;Redmond;WA;98052;2022;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;52900;48;190732468;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022605;20065;32835
KNDC4DLC1P;King;Seattle;WA;98115;2023;KIA;EV6;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;59900;46;238416405;POINT (-122.3185 47.67949);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033002000;21151;38749
1N4AZ0CP4F;King;Seattle;WA;98125;2015;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;84;69900;46;104958626;POINT (-122.296385 47.71558);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033000202;12331;57569
5YJYGDEE1M;Thurston;Olympia;WA;98502;2021;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;22;146848670;POINT (-122.92145 47.045935);PUGET SOUND ENERGY INC;53067012001;6520;63380
1C4JJXR69P;King;Tukwila;WA;98188;2023;JEEP;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21;31950;11;244078866;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028200;2619;29331
5YJYGDEE1M;King;Redmond;WA;98052;2021;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;52900;45;141594456;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032323;15105;37795
7SAYGDEE3N;King;Redmond;WA;98052;2022;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;48;195369982;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022802;21523;48377
5YJ3E1EB4N;King;Seattle;WA;98103;2022;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;46;201986249;POINT (-122.34301 47.659185);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033002700;10152;59748
5YJ3E1EC2P;Clark;Vancouver;WA;98686;2023;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;17;240591501;POINT (-122.6483953 45.7010427);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011040811;18964;50936
1G1FW6S06N;Thurston;Olympia;WA;98501;2022;CHEVROLET;BOLT EV;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;22;218649196;POINT (-122.89692 47.043535);PUGET SOUND ENERGY INC;53067010100;20820;49080
KM8KRDAF6P;Kitsap;Olalla;WA;98359;2023;HYUNDAI;IONIQ 5;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;36800;26;245547172;POINT (-122.54483 47.41801);PUGET SOUND ENERGY INC;53035092803;8551;28249
3C3CFFGE7H;King;Seattle;WA;98119;2017;FIAT;500;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;84;59900;36;137215396;POINT (-122.363815 47.63046);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033007001;8728;51172
5UXTA6C07P;Clark;Camas;WA;98607;2023;BMW;X5;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;30;69900;18;240726818;POINT (-122.405565 45.59009);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011040609;5997;63903
5YJYGDEE6M;King;Kent;WA;98031;2021;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;47;133756654;POINT (-122.2012521 47.3931814);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033029407;17943;51957
WBAJB1C58K;King;Renton;WA;98059;2019;BMW;530E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;15;55700;11;475944563;POINT (-122.15734 47.487175);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033025602;0;55700
YV4ED3UR2M;King;Tukwila;WA;98168;2021;VOLVO;XC40;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;11;172077818;POINT (-122.286465 47.476);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033026200;7838;62062
7SAYGDEE0P;King;Seattle;WA;98178;2023;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;37;239895533;POINT (-122.234385 47.494545);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033011902;14535;55365
2C4RC1L73P;King;Tukwila;WA;98188;2023;CHRYSLER;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32;31950;11;249938426;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028200;10632;21318
5YJ3E1EB5N;King;Seattle;WA;98144;2022;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;52900;37;259095700;POINT (-122.30823 47.581975);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033009500;21114;31786
7PDSGABA8P;King;Kirkland;WA;98033;2023;RIVIAN;R1S;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;48;256171898;POINT (-122.20264 47.6785);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022604;8389;61511
1N4AZ1CPXJ;King;Woodinville;WA;98072;2018;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;151;69900;45;474149812;POINT (-122.151665 47.75855);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032319;15029;54871
1G1FY6S00P;King;Tukwila;WA;98188;2023;CHEVROLET;BOLT EUV;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;59900;11;244095932;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028200;15583;44317
1N4BZ1DP3L;King;Kirkland;WA;98034;2020;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;215;31950;45;142274821;POINT (-122.209285 47.71124);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022003;6869;25081
7SAYGDEE3P;King;Seattle;WA;98108;2023;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;52900;11;235143338;POINT (-122.3268963 47.5499519);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033010402;5704;47196
KMTGE4S15P;King;Tukwila;WA;98188;2023;GENESIS;G80;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;31950;11;251973354;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028200;9989;21961
5YJYGDEE9M;King;Bellevue;WA;98008;2021;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;36800;48;144293642;POINT (-122.11832 47.6245);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033023300;12728;24072
5YJ3E1EBXJ;King;Kirkland;WA;98033;2018;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;215;69900;45;125999107;POINT (-122.20264 47.6785);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022401;8253;61647
3FA6P0SU7K;Clark;Vancouver;WA;98664;2019;FORD;FUSION;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;26;36800;49;8941040;POINT (-122.589388 45.6228731);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011041206;10581;26219
1N4AZ1CP6J;King;Sammamish;WA;98074;2018;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;151;69900;45;207755775;POINT (-122.0313266 47.6285782);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032318;20758;49142
5YJ3E1EA2P;King;Kent;WA;98030;2023;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;47;251315788;POINT (-122.199755 47.37483);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033029507;21035;48865
KM8KMDAF6P;King;Auburn;WA;98002;2023;HYUNDAI;IONIQ 5;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;47;249635130;POINT (-122.222855 47.305065);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033030503;15526;54374
KNDPYDAH6P;King;Kent;WA;98031;2023;KIA;SPORTAGE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;34;59900;47;244126312;POINT (-122.2012521 47.3931814);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033029408;14142;45758
7SAYGDEE4P;King;Des Moines;WA;98198;2023;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;59900;30;250973026;POINT (-122.3219166 47.4013897);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033030003;13831;46069
5UX43EU01R;King;Seattle;WA;98112;2024;BMW;X5;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;39;44100;43;253659612;POINT (-122.30764 47.62523);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033006300;7684;36416
7FCTGAAA3N;Kitsap;Seabeck;WA;98380;2022;RIVIAN;R1T;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;35;219113002;POINT (-122.847462 47.63836);PUGET SOUND ENERGY INC;53035091301;18823;51077
KNDC3DLC3N;Thurston;Olympia;WA;98502;2022;KIA;EV6;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;22;193625043;POINT (-122.92145 47.045935);PUGET SOUND ENERGY INC;53067010520;20323;49577
WP0AD2Y18N;King;Redmond;WA;98052;2022;PORSCHE;TAYCAN;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;36800;45;228738051;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032324;5543;31257
JTDKARFP4H;Kitsap;Poulsbo;WA;98370;2017;TOYOTA;PRIUS PRIME;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25;44100;23;137635788;POINT (-122.64177 47.737525);PUGET SOUND ENERGY INC;53035090201;11826;32274
5YJ3E1EA3P;King;Bellevue;WA;98004;2023;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;48;233740090;POINT (-122.201905 47.61385);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033023806;9446;60454
WVGRMPE29M;King;Bellevue;WA;98008;2021;VOLKSWAGEN;ID.4;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;48;166251277;POINT (-122.11832 47.6245);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033023300;18216;51684
5YJ3E1EA2J;King;Kirkland;WA;98033;2018;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;215;31950;48;348530752;POINT (-122.20264 47.6785);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022603;4440;27510
1N4AZ1BV5P;King;Kirkland;WA;98034;2023;NISSAN;LEAF;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;1;253401690;POINT (-122.209285 47.71124);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022203;22145;47755
1G1FY6S0XK;King;Auburn;WA;98001;2019;CHEVROLET;BOLT EV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;238;44100;30;475890607;POINT (-122.2849393 47.3384055);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033030801;11142;32958
1V2VMPE83P;King;Beaux Arts;WA;98004;2023;VOLKSWAGEN;ID.4;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;41;244255056;POINT (-122.201905 47.61385);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033023901;23654;46246
5YJ3E1EAXP;King;Redmond;WA;98052;2023;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;52900;45;229553026;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032323;19411;33489
5YJ3E1EC4L;King;Seattle;WA;98108;2020;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;308;59900;11;245835992;POINT (-122.3268963 47.5499519);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033011200;15014;44886
JN1AZ0CP7B;Jefferson;Port Townsend;WA;98368;2011;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;73;44100;24;233183506;POINT (-122.7644197 48.1195874);BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY;53031950602;8539;35561
7SAYGDEE6N;King;Kirkland;WA;98033;2022;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;52900;48;206915222;POINT (-122.20264 47.6785);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022603;9540;43360
KNDCR3L1XP;King;Renton;WA;98057;2023;KIA;NIRO;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;31950;11;238445301;POINT (-122.21024 47.4797047);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033025302;11123;20827
7SAYGDEE9P;King;Tukwila;WA;98168;2023;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;11;229792874;POINT (-122.286465 47.476);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033026200;7683;62217
7SAYGDEE9P;King;Kirkland;WA;98033;2023;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;44100;48;249695995;POINT (-122.20264 47.6785);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022501;6218;37882
JHMZC5F37J;King;Kirkland;WA;98033;2018;HONDA;CLARITY;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;47;69900;48;235290856;POINT (-122.20264 47.6785);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022603;24701;45199
5YJ3E1EB8K;King;Issaquah;WA;98027;2019;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;220;36800;5;104028893;POINT (-122.03646 47.534065);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033025006;9812;26988
WVGKMPE21M;King;Kent;WA;98030;2021;VOLKSWAGEN;ID.4;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;36800;47;206966819;POINT (-122.199755 47.37483);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033029506;11155;25645
7SAYGDEE4P;King;Seattle;WA;98125;2023;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;52900;46;258134334;POINT (-122.296385 47.71558);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033002200;10649;42251
KM8K23AG7P;King;Kirkland;WA;98033;2023;HYUNDAI;KONA ELECTRIC;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;45;244798585;POINT (-122.20264 47.6785);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022402;19772;50128
5YJ3E1EA2P;King;Kirkland;WA;98034;2023;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;45;233224316;POINT (-122.209285 47.71124);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022005;10853;59047
5YJYGAEE8M;King;Bellevue;WA;98005;2021;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;41;179672615;POINT (-122.16085 47.624515);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033023604;15448;54452
WMW13DJ0XN;King;Shoreline;WA;98177;2022;MINI;HARDTOP;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;32;161619104;POINT (-122.382425 47.77279);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033020800;9242;60658
1FT6W1EV8N;Snohomish;Snohomish;WA;98290;2022;FORD;F-150;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;44;229451603;POINT (-122.091505 47.915555);PUGET SOUND ENERGY INC;53061052401;12390;57510
5YJ3E1EB4P;King;Redmond;WA;98052;2023;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;48;257936423;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032324;23361;46539
5YJXCBE41G;Clark;Vancouver;WA;98686;2016;TESLA;MODEL X;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;200;69900;17;106224898;POINT (-122.6483953 45.7010427);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011040811;12282;57618
