VIN (1-10);County;City;State;Postal Code;Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range;Base MSRP;Legislative District;DOL Vehicle ID;Vehicle Location;Electric Utility;2020 Census Tract;Descuentos;Precio Final
3FA6P0SU9L;Kitsap;Bremerton;WA;98310;2020;FORD;FUSION;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;26;59900;23;230362380;POINT (-122.611365 47.575195);PUGET SOUND ENERGY INC;53035080300;7907;51993
WBY1Z2C53G;King;Seattle;WA;98119;2016;BMW;I3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;81;69900;36;219061027;POINT (-122.363815 47.63046);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033005902;19465;50435
5UX43EU02R;King;Seattle;WA;98105;2024;BMW;X5;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;39;52900;46;256410164;POINT (-122.319115 47.66132);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033004101;4913;47987
JTDKARFP7H;Kitsap;Poulsbo;WA;98370;2017;TOYOTA;PRIUS PRIME;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25;59900;23;348856014;POINT (-122.64177 47.737525);PUGET SOUND ENERGY INC;53035940100;21851;38049
5YJXCBE26G;Yakima;Selah;WA;98942;2016;TESLA;MODEL X;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;200;69900;15;122670621;POINT (-120.54188 46.654175);PACIFICORP;53077003100;8781;61119
5YJ3E1EB0L;King;Seattle;WA;98119;2020;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;322;44100;36;151540385;POINT (-122.363815 47.63046);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033007102;3760;40340
1G1RA6S51J;Kitsap;Poulsbo;WA;98370;2018;CHEVROLET;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;53;36800;23;154300961;POINT (-122.64177 47.737525);PUGET SOUND ENERGY INC;53035091100;12373;24427
1N4AZ0CP0D;Kitsap;Poulsbo;WA;98370;2013;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;75;36800;23;231813487;POINT (-122.64177 47.737525);PUGET SOUND ENERGY INC;53035090502;5657;31143
7FCTGAAL7N;Kitsap;Silverdale;WA;98383;2022;RIVIAN;R1T;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;59900;23;221467284;POINT (-122.668076 47.665978);PUGET SOUND ENERGY INC;53035091206;21163;38737
5YJ3E1EAXK;King;Seattle;WA;98144;2019;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;220;69900;37;477438538;POINT (-122.30823 47.581975);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033009000;11223;58677
1G1FY6S0XL;Snohomish;Brier;WA;98036;2020;CHEVROLET;BOLT EV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;259;69900;1;145615970;POINT (-122.316675 47.819365);PUGET SOUND ENERGY INC;53061051913;18782;51118
WBY8P6C04L;Kitsap;Bainbridge Island;WA;98110;2020;BMW;I3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;153;59900;23;132150504;POINT (-122.5235781 47.6293323);PUGET SOUND ENERGY INC;53035091002;22271;37629
5YJYGDEE8L;Snohomish;Bothell;WA;98021;2020;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;291;31950;1;110047598;POINT (-122.179458 47.802589);PUGET SOUND ENERGY INC;53061051938;3364;28586
KNAGV4LD5J;Thurston;Lacey;WA;98503;2018;KIA;OPTIMA;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;29;69900;22;165098895;POINT (-122.8285 47.03646);PUGET SOUND ENERGY INC;53067011300;26572;43328
5YJ3E1EA5L;Yakima;Yakima;WA;98902;2020;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;266;69900;14;102765120;POINT (-120.524012 46.5973939);PACIFICORP;53077000301;21190;48710
5YJ3E1EB5J;King;Seattle;WA;98115;2018;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;215;69900;46;474007481;POINT (-122.3185 47.67949);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033002200;14223;55677
5UXTA6C04N;Thurston;Olympia;WA;98501;2022;BMW;X5;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;30;69900;22;216634071;POINT (-122.89692 47.043535);PUGET SOUND ENERGY INC;53067010300;19514;50386
5YJSA1E23H;Yakima;Yakima;WA;98901;2017;TESLA;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;210;59900;15;255647577;POINT (-120.500225 46.6043);PACIFICORP;53077001601;22038;37862
5YJSA1E22K;Snohomish;Bothell;WA;98012;2019;TESLA;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;270;31950;21;145860116;POINT (-122.1873 47.820245);PUGET SOUND ENERGY INC;53061051927;9938;22012
7SAYGDEE7N;Yakima;Yakima;WA;98902;2022;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;44100;15;185725480;POINT (-120.524012 46.5973939);PACIFICORP;53077000301;8358;35742
